Unnamed: 0,country,year,biofuel_electricity,hydro_electricity,nuclear_electricity,solar_electricity,wind_electricity,other_renewable_electricity,coal_electricity,gas_electricity,oil_electricity,total,timestamp,temperature,humidity,wind_speed,demand
1,Afghanistan,2000,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.467,2025-03-01 12:47:17,22.49080237694725,88.15930873705074,2.5521411026573686,775.0136613058257
2,Afghanistan,2001,0.0,0.498,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.592,2025-03-01 12:47:17,34.01428612819832,52.6703528236312,4.741573319113435,258.05398089804976
3,Afghanistan,2002,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.687,2025-03-01 12:47:17,29.6398788362281,33.72220581772689,6.367392490148028,434.7063995870584
4,Afghanistan,2003,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.309,0.0,0.939,2025-03-01 12:47:17,26.97316968394073,50.358316038574046,4.639863365373344,125.45643546188175
5,Afghanistan,2004,0.0,0.565,0.0,0.0,0.0,0.0,0.0,0.329,0.0,0.894,2025-03-01 12:47:17,18.12037280884873,60.35589925917351,4.2095336981477365,223.36114828640325
6,Afghanistan,2005,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.344,0.0,0.934,2025-03-01 12:47:17,18.119890406724053,39.71538039793282,14.583445638245363,255.88326768392088
7,Afghanistan,2006,0.0,0.637,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.837,2025-03-01 12:47:17,16.161672243363988,69.48613308338952,2.3004724112361847,148.96911497516015
8,Afghanistan,2007,0.0,0.748,0.0,0.0,0.0,0.0,0.0,0.198,0.0,0.946,2025-03-01 12:47:17,32.3235229154987,89.86496334061204,10.999918630752934,690.9912609605607
9,Afghanistan,2008,0.0,0.542,0.0,0.0,0.0,0.0,0.0,0.186,0.0,0.728,2025-03-01 12:47:17,27.022300234864176,57.10436855888664,0.006154341587623,853.3070162228055
10,Afghanistan,2009,0.0,0.776,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.938,2025-03-01 12:47:17,29.16145155592091,51.283713403812754,8.942740041035652,435.98386572934686
11,Afghanistan,2010,0.0,0.751,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.936,2025-03-01 12:47:17,15.411689885916047,54.042250010068,13.739145059310786,887.1188290463806
12,Afghanistan,2011,0.0,0.595,0.0,0.0,0.0,0.0,0.0,0.252,0.0,0.847,2025-03-01 12:47:17,34.39819704323989,36.90877070371207,4.319011411398285,292.0119171041139
13,Afghanistan,2012,0.0,0.71,0.0,0.028,0.0,0.0,0.0,0.174,0.0,0.912,2025-03-01 12:47:17,31.64885281600844,82.99641608557343,2.782889628865788,392.85138120511556
14,Afghanistan,2013,0.0,0.855,0.0,0.03,0.0,0.0,0.0,0.218,0.0,1.103,2025-03-01 12:47:17,19.246782213565524,54.88953933128112,9.775196923176404,235.66329372805154
15,Afghanistan,2014,0.0,0.968,0.0,0.032,0.0,0.0,0.0,0.154,0.0,1.154,2025-03-01 12:47:17,18.636499344142013,53.23646468549048,10.689021109475895,658.5032758770988
16,Afghanistan,2015,0.0,1.001,0.0,0.033,0.0,0.0,0.0,0.144,0.0,1.178,2025-03-01 12:47:17,18.668090197068675,69.58141637582847,10.32045778427972,477.88263178327617
17,Afghanistan,2016,0.0,1.025,0.0,0.035,0.0,0.0,0.0,0.15,0.0,1.21,2025-03-01 12:47:17,21.084844859190756,56.52200525586741,4.789753200320611,651.9550121577088
18,Afghanistan,2017,0.0,1.05,0.0,0.038,0.0,0.0,0.0,0.168,0.0,1.256,2025-03-01 12:47:17,25.49512863264476,68.89400812847077,3.783036032389963,785.5074148547652
19,Afghanistan,2018,0.0,0.928,0.0,0.037,0.0,0.0,0.0,0.15,0.0,1.115,2025-03-01 12:47:17,23.638900372842315,33.68677740784725,14.338781999430664,591.1327144296536
20,Afghanistan,2019,0.0,0.84,0.0,0.04,0.0,0.0,0.0,0.152,0.0,1.032,2025-03-01 12:47:17,20.82458280396084,78.82340062333364,13.849492624048942,664.8673194116091
21,Albania,2000,0.0,4.548,0.0,0.0,0.0,0.0,0.0,0.0,0.135,4.683,2025-03-01 12:47:17,27.237057894447588,86.43023717276415,6.8597491483923045,941.7252829548996
22,Albania,2001,0.0,3.519,0.0,0.0,0.0,0.0,0.0,0.0,0.129,3.648,2025-03-01 12:47:17,17.789877213040835,68.92592316956316,12.692907992315602,369.1578786479588
23,Albania,2002,0.0,3.477,0.0,0.0,0.0,0.0,0.0,0.0,0.164,3.641,2025-03-01 12:47:17,20.84289297070436,87.27395573152864,6.78485216451444,423.2475447705578
24,Albania,2003,0.0,5.117,0.0,0.0,0.0,0.0,0.0,0.0,0.101,5.218,2025-03-01 12:47:17,22.32723686587384,39.0859388621978,6.365835271087656,745.9330255384032
25,Albania,2004,0.0,5.411,0.0,0.0,0.0,0.0,0.0,0.0,0.132,5.543,2025-03-01 12:47:17,24.12139968434072,58.64497136882122,2.35144421398942,650.1749653498481
26,Albania,2005,0.0,5.319,0.0,0.0,0.0,0.0,0.0,0.0,0.066,5.385,2025-03-01 12:47:17,30.703519227860276,66.10840403672684,6.396090847379592,260.6796140857433
27,Albania,2006,0.0,4.951,0.0,0.0,0.0,0.0,0.0,0.0,0.087,5.038,2025-03-01 12:47:17,18.993475643167194,64.9041988452712,8.061254078997106,438.5325790094412
28,Albania,2007,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.068,2.828,2025-03-01 12:47:17,25.284688768272236,54.087706745342594,0.337564911430297,521.0542118122435
29,Albania,2008,0.0,3.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.759,2025-03-01 12:47:17,26.848291377240848,50.28506456197569,6.661695077631096,477.4508541715504
30,Albania,2009,0.0,5.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.201,2025-03-01 12:47:17,15.929008254399957,37.609441353025126,11.720343275928006,260.4473274898367
31,Albania,2010,0.0,7.491,0.0,0.0,0.0,0.0,0.0,0.0,0.001,7.492,2025-03-01 12:47:17,27.150897038028766,53.50454703373669,10.200690845614048,931.987082605836
32,Albania,2011,0.0,4.091,0.0,0.001,0.0,0.0,0.0,0.0,0.055,4.147,2025-03-01 12:47:17,18.41048247374583,39.75964890632911,9.527354832959023,786.0868855245783
33,Albania,2012,0.0,4.678,0.0,0.001,0.0,0.0,0.0,0.0,0.0,4.679,2025-03-01 12:47:17,16.30103185970559,74.0619405895331,13.643331426558037,533.220248897067
34,Albania,2013,0.0,6.889,0.0,0.001,0.0,0.0,0.0,0.0,0.0,6.89,2025-03-01 12:47:17,33.977710745066666,42.5298561296754,0.2704801473784501,712.0549254761529
35,Albania,2014,0.0,4.677,0.0,0.001,0.0,0.0,0.0,0.0,0.0,4.678,2025-03-01 12:47:17,34.31264066149119,33.51391831707203,8.355713792883513,907.5544049219696
